condition,replicate,beta_origin,R2_origin,slope,intercept,R2,E0,beta_origin_delta,R2_origin_delta
coherent_bin_bitflip_p0.01,1,6.354537258100419,0.4147555348638772,4.478513974015467,0.1854738429117166,0.8335946133649311,0.046875,5.880407914248197,0.5477432464214308
coherent_bin_bitflip_p0.01,2,8.059302701046047,0.6830280507669619,6.207666540310552,0.1830627995501777,0.9165259864570029,0.0078125,7.980281143737346,0.6634706730113739
coherent_bin_bitflip_p0.01,3,14.168664031119755,0.2608840151592118,9.54847898387443,0.4567765671916027,0.7915172450067328,0.046875,13.694534687267533,0.24963125373080508
coherent_bin_bitflip_p0.01,4,8.424561984261853,-0.029607866228957835,5.255133751406757,0.31334687536527733,0.7126709081584595,0.03125,8.10847575502704,-0.0818198810151558
coherent_bin_bitflip_p0.01,5,8.08671552973732,0.6965945598077882,6.249790469349589,0.18160838033368565,0.9255392102489154,0.0234375,7.849650857811209,0.7222838460606652
coherent_bin_bitflip_p0.01,6,9.503244155328957,0.4621378021896493,6.758881514736653,0.27132258411295473,0.8753962266601097,0.0390625,9.108136368785441,0.5066618082889921
coherent_bin_bitflip_p0.01,7,13.373462218446797,0.5714978774899884,10.042721314850866,0.3292951214272918,0.8342611066240083,0.0390625,12.978354431903277,0.5853979145159651
coherent_bin_bitflip_p0.01,8,6.363774439268811,0.1687304987675815,4.168898976166654,0.21699729971781975,0.8179205750963441,0.0,6.363774439268811,-0.035385056326466824
coherent_bin_bitflip_p0.01,9,8.06153157311902,0.7200673737406272,6.2839486327631375,0.17574149630180425,0.9340946303840223,0.0390625,7.666423786575502,0.784100147552836
coherent_bin_bitflip_p0.01,10,7.85711872815879,0.705679256842815,6.107456549636013,0.1729810982629629,0.9224588210557143,0.0390625,7.462010941615274,0.7708706039488779
coherent_bin_bitflip_p0.01,11,8.067505869397083,0.7357871830492684,6.382176597829915,0.16662079795114754,0.9193562185183553,0.0078125,7.98848431208838,0.7237770072050227
coherent_bin_bitflip_p0.01,12,7.917987616007222,0.7136940497934174,6.160514574812874,0.17375332253567954,0.9305470377243871,0.0546875,7.364836714846297,0.8124411160839509
coherent_bin_bitflip_p0.01,13,6.159706265247701,0.35023786730767315,4.243888750259786,0.18940811653928993,0.840970052150454,0.0625,5.527533806778073,0.5726966642043447
coherent_bin_bitflip_p0.01,14,8.093677882707526,0.687805845826613,6.2362034719529245,0.18364000063084088,0.9220315997379614,0.046875,7.619548538855304,0.7704241487207264
coherent_bin_bitflip_p0.01,15,9.624958952963214,-0.48534971417344397,5.383534643124688,0.41933022518355073,0.6243671756347213,0.0234375,9.387894281037102,-0.7827271740040076
coherent_bin_bitflip_p0.01,16,13.357929048123827,0.5808293115122745,10.01075703251384,0.3309195903314966,0.8543051485565016,0.0234375,13.12086437619772,0.5676412753334064
coherent_bin_bitflip_p0.01,17,7.903879085565947,0.7055518271554488,6.15502516422226,0.172901189571883,0.9176952698615783,0.03125,7.587792856331133,0.7509774529635727
coherent_bin_bitflip_p0.01,18,11.398290934730936,0.4446838467280477,8.124716075801166,0.3236433760154711,0.8309501979975626,0.03125,11.082204705496121,0.4414717588423378
coherent_bin_bitflip_p0.01,19,8.014886106024901,0.7153227914995355,6.277032728682853,0.17181361609269852,0.9164732258862991,0.0546875,7.461735204863977,0.8068969999358017
coherent_bin_bitflip_p0.01,20,5.467813822060038,0.31615914682478097,3.7230726816515154,0.1724945777288583,0.8518220366092071,0.0546875,4.914662920899113,0.5477316963456451
coherent_bin_bitflip_p0.01,21,7.9630935529066065,0.7227586133980561,6.246017088055954,0.16975949776894894,0.922356220688185,0.015625,7.805050438289199,0.7297124583702929
coherent_bin_bitflip_p0.01,22,5.341319587403332,0.2372395342237993,3.561076220487086,0.1760045205095107,0.8342219607306696,0.0390625,4.946211800859814,0.3849461274527365
coherent_bin_bitflip_p0.01,23,9.312710060183926,0.04992011126375784,5.931811888383944,0.33425394116192886,0.7151180680435159,0.0546875,8.759559159023,0.11392470145425959
coherent_bin_bitflip_p0.01,24,7.9303498136902935,0.7641298915720836,6.341415605639919,0.15709065884261322,0.9316071879179979,0.015625,7.772306699072885,0.7739121347124523
coherent_bin_bitflip_p0.01,25,7.876213498185988,0.7010883721657569,6.104417600634092,0.17516935784432586,0.9239742109896761,0.046875,7.4020841543337665,0.7846795250629354
coherent_bin_bitflip_p0.01,26,7.49137690562822,-0.20672268199548638,4.4849637960644735,0.2972303156050282,0.7211472902869589,0.0625,6.859204447158591,-0.039389505948175696
coherent_bin_bitflip_p0.01,27,9.608437725948106,0.19505747539476348,6.3700514031677145,0.3201644463660205,0.7503362965067917,0.015625,9.4503946113307,0.10087573298703267
coherent_bin_bitflip_p0.01,28,11.65003858866352,0.4433783828451643,8.317278573208789,0.3294947417832317,0.8207032967474024,0.0234375,11.412973916737409,0.4168632891947027
coherent_bin_bitflip_p0.01,29,7.966563240360405,0.699853035102558,6.17039645545584,0.17757879602711105,0.9240613432183067,0.03125,7.6504770111255915,0.7462456417522836
coherent_bin_bitflip_p0.01,30,9.998099711653541,-0.3375838772478357,5.811207277916491,0.4139389079714832,0.6940512109729198,0.0625,9.365927253183914,-0.31430418061361554
coherent_bin_bitflip_p0.01,31,8.052570128701923,0.7287630059799004,6.3187494244319335,0.17141492414776013,0.9290594990181229,0.0390625,7.6574623421584045,0.7903796097708811
coherent_bin_bitflip_p0.01,32,8.559535124020888,-0.06458514317011677,5.292540365341339,0.3229928315949908,0.7091888083258164,0.0234375,8.322470452094779,-0.17976817906395937
