condition,replicate,n,k,theta,theta2,lambda,sign_changes_half,C,E
coherent_soft_noise_sigma0.30,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.9408195353894915,0.11836092922101704
coherent_soft_noise_sigma0.30,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.9203285690703942,0.15934286185921165
coherent_soft_noise_sigma0.30,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.917448629854483,0.1651027402910339
coherent_soft_noise_sigma0.30,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,0.8993840070603825,0.20123198587923508
coherent_soft_noise_sigma0.30,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.8791929809709407,0.24161403805811865
coherent_soft_noise_sigma0.30,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.8376226717583848,0.32475465648323043
coherent_soft_noise_sigma0.30,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.7800061144182893,0.43998777116342147
coherent_soft_noise_sigma0.30,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.7240344370285898,0.5519311259428203
coherent_soft_noise_sigma0.30,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,0.6542198327448892,0.6915603345102217
coherent_soft_noise_sigma0.30,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.571960503052825,0.85607899389435
coherent_soft_noise_sigma0.30,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.5011173462575623,0.9977653074848754
coherent_soft_noise_sigma0.30,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,-0.006726170092258205,2.0134523401845166
coherent_bin_clean,1,512,0,0.0,0.0,0.9999899449739952,2,1.0,0.0
coherent_bin_clean,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.984375,0.03125
coherent_bin_clean,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.96875,0.0625
coherent_bin_clean,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.953125,0.09375
coherent_bin_clean,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.9375,0.125
coherent_bin_clean,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.921875,0.15625
coherent_bin_clean,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.90625,0.1875
coherent_bin_clean,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,0.875,0.25
coherent_bin_clean,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.84375,0.3125
coherent_bin_clean,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.8125,0.375
coherent_bin_clean,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.765625,0.46875
coherent_bin_clean,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.734375,0.53125
coherent_bin_clean,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,0.703125,0.59375
coherent_bin_clean,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.671875,0.65625
coherent_bin_clean,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.640625,0.71875
coherent_bin_clean,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.390625,1.21875
coherent_bin_bitflip_p0.01,1,512,0,0.0,0.0,0.9999899449739952,2,0.9765625,0.046875
coherent_bin_bitflip_p0.01,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.96484375,0.0703125
coherent_bin_bitflip_p0.01,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.9453125,0.109375
coherent_bin_bitflip_p0.01,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.93359375,0.1328125
coherent_bin_bitflip_p0.01,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.9296875,0.140625
coherent_bin_bitflip_p0.01,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.9140625,0.171875
coherent_bin_bitflip_p0.01,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.890625,0.21875
coherent_bin_bitflip_p0.01,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,0.85546875,0.2890625
coherent_bin_bitflip_p0.01,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.82421875,0.3515625
coherent_bin_bitflip_p0.01,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.77734375,0.4453125
coherent_bin_bitflip_p0.01,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.7578125,0.484375
coherent_bin_bitflip_p0.01,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.71875,0.5625
coherent_bin_bitflip_p0.01,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,0.68359375,0.6328125
