C
0.7918233465
0.7794532289
0.7827580283
0.7825514281
0.7735494403
0.7921572546
0.7815820722
0.7869106765
0.7920884122
0.7917100720
0.7941300649
0.7856835117
0.7820918708
0.7858910321
0.7681147018
0.7707709732
0.7721466772
0.7757453944
0.7911930537
0.7767601231
0.7825909627
0.8011388309
0.7828331078
0.7949276526
0.7764489782
0.7845008815
0.7762675857
0.7830236396
0.7960642887
0.7676725539
0.7915761921
0.7894013002
0.7802026666
0.7707826347
0.7875700990
0.7809176187
0.7893453556
0.7870141535
0.8044843055
0.7841258301
