C
0.9553058481
0.9526730714
0.9367703031
0.9485812404
0.9470618931
0.9484039755
0.9569922813
0.9484685378
0.9544592987
0.9464157804
0.9493306555
0.9538326773
0.9263543688
0.9413206078
0.9393377821
0.9371207068
0.9419064893
0.9651960298
0.9341346120
0.9582665614
0.9233845800
0.9411204350
0.9476680143
0.9532397313
0.9548844511
0.9559649381
0.9409383372
0.9394433151
0.9568152774
0.9430095710
0.9287420194
0.9306156088
0.9334291016
0.9520679203
0.9474005613
0.9546115524
0.9399051255
0.9476125776
0.9537577092
0.9414564528
