C
1.0008650787
0.9853965749
1.0059924928
1.0081794261
0.9749164792
0.9823804621
0.9988304129
0.9937219921
0.9971665573
0.9875470042
1.0074758066
1.0063070016
0.9981193972
1.0103268221
1.0027377272
0.9874751255
1.0016016777
0.9863295100
1.0074649052
0.9967855133
0.9952332985
0.9895268880
1.0114230883
0.9955822268
0.9924326419
0.9933091276
1.0034831394
1.0015636395
1.0021076140
1.0023156902
1.0219958451
0.9926847115
0.9914673433
0.9879987527
1.0044456234
1.0103467353
0.9960490541
0.9876952525
0.9878755697
1.0048437914
